"Year","Geo","Y15-24","Y25-34","Y35-44","Y45-64","Y_GE65"
"2017","NL","33909","37497","29846","42475","26435"
"2012","PL","41297","44851","33381","51504","31973"
"2013","PL","19418","58528","49122","43734","17994"
"2014","PL","35051","34728","30929","41925","17123"
"2015","PL","45975","42208","33753","44028","25342"
"2016","PL","38975","35244","30881","42953","25030"
"2017","PL","33909","37497","29846","42475","26435"
"2012","PT","41297","44851","33381","51504","31973"
"2013","PT","19418","58528","49122","43734","17994"
"2014","PT","35051","34728","30929","41925","17123"
"2015","PT","45975","42208","33753","44028","25342"
"2016","PT","38975","35244","30881","42953","25030"
"2017","PT","33909","37497","29846","42475","26435"
"2012","RO","41297","44851","33381","51504","31973"
"2013","RO","19418","58528","49122","43734","17994"
"2014","RO","35051","34728","30929","41925","17123"
"2015","RO","45975","42208","33753","44028","25342"
"2016","RO","38975","35244","30881","42953","25030"
"2017","RO","33909","37497","29846","42475","26435"
"2012","SE","41297","44851","33381","51504","31973"
"2013","SE","19418","58528","49122","43734","17994"
"2014","SE","35051","34728","30929","41925","17123"
"2015","SE","45975","42208","33753","44028","25342"
"2016","SE","38975","35244","30881","42953","25030"
"2017","SE","33909","37497","29846","42475","26435"
"2012","SI","356020","588760","491646","1013265","727606"
"2013","SI","409620","505116","644671","918120","675221"
"2014","SI","453680","547433","747263","1146253","912209"
"2015","SI","440627","506269","712344","1111312","851203"
"2016","SI","396823","511596","713571","1107783","894801"
"2017","SI","356991","477346","625537","1116016","884916"
"2012","SK","356020","588760","491646","1013265","727606"
"2013","SK","409620","505116","644671","918120","675221"
"2014","SK","453680","547433","747263","1146253","912209"
"2015","SK","440627","506269","712344","1111312","851203"
"2016","SK","396823","511596","713571","1107783","894801"
"2017","SK","356991","477346","625537","1116016","884916"
