"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2010","Italy","Thousand euro","Total","1 night or over","Domestic","21,574,509",""
"2010","Cyprus","Thousand euro","Total","1 night or over","Domestic",":",""
"2010","Latvia","Thousand euro","Total","1 night or over","Domestic","102,668",""
"2010","Lithuania","Thousand euro","Total","1 night or over","Domestic","107,060",""
"2010","Luxembourg","Thousand euro","Total","1 night or over","Domestic",":","u"
"2010","Hungary","Thousand euro","Total","1 night or over","Domestic","898,363",""
"2010","Malta","Thousand euro","Total","1 night or over","Domestic",":",""
"2010","Netherlands","Thousand euro","Total","1 night or over","Domestic",":",""
"2010","Austria","Thousand euro","Total","1 night or over","Domestic","3,670,228",""
"2010","Poland","Thousand euro","Total","1 night or over","Domestic","2,968,933",""
"2010","Portugal","Thousand euro","Total","1 night or over","Domestic","1,259,877",""
"2010","Romania","Thousand euro","Total","1 night or over","Domestic","770,309",""
"2010","Slovenia","Thousand euro","Total","1 night or over","Domestic","229,168",""
"2010","Slovakia","Thousand euro","Total","1 night or over","Domestic","707,854",""
"2010","Finland","Thousand euro","Total","1 night or over","Domestic","5,562,000",""
"2010","Sweden","Thousand euro","Total","1 night or over","Domestic","6,619,169",""
"2010","United Kingdom","Thousand euro","Total","1 night or over","Domestic","19,946,146",""
"2010","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2010","Norway","Thousand euro","Total","1 night or over","Domestic","5,150,731",""
"2010","Switzerland","Thousand euro","Total","1 night or over","Domestic",":","u"
"2011","Belgium","Thousand euro","Total","1 night or over","Domestic","537,025",""
"2011","Bulgaria","Thousand euro","Total","1 night or over","Domestic","894,581",""
"2011","Czechia","Thousand euro","Total","1 night or over","Domestic","1,602,005",""
"2011","Denmark","Thousand euro","Total","1 night or over","Domestic","3,178,434",""
"2011","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","47,718,670",""
"2011","Estonia","Thousand euro","Total","1 night or over","Domestic","114,087",""
"2011","Ireland","Thousand euro","Total","1 night or over","Domestic","1,036,000",""
"2011","Greece","Thousand euro","Total","1 night or over","Domestic","2,242,730",""
"2011","Spain","Thousand euro","Total","1 night or over","Domestic","19,512,039",""
"2011","France","Thousand euro","Total","1 night or over","Domestic","49,850,995",""
"2011","Croatia","Thousand euro","Total","1 night or over","Domestic","984,366",""
"2011","Italy","Thousand euro","Total","1 night or over","Domestic","17,375,802",""
"2011","Cyprus","Thousand euro","Total","1 night or over","Domestic",":",""
"2011","Latvia","Thousand euro","Total","1 night or over","Domestic","107,828",""
"2011","Lithuania","Thousand euro","Total","1 night or over","Domestic","113,648",""
"2011","Luxembourg","Thousand euro","Total","1 night or over","Domestic","1,180",""
"2011","Hungary","Thousand euro","Total","1 night or over","Domestic","933,121",""
"2011","Malta","Thousand euro","Total","1 night or over","Domestic","22,194",""
"2011","Netherlands","Thousand euro","Total","1 night or over","Domestic",":",""
"2011","Austria","Thousand euro","Total","1 night or over","Domestic","3,571,983",""
"2011","Poland","Thousand euro","Total","1 night or over","Domestic","2,648,886","e"
"2011","Portugal","Thousand euro","Total","1 night or over","Domestic","967,409",""
"2011","Romania","Thousand euro","Total","1 night or over","Domestic","904,530",""
"2011","Slovenia","Thousand euro","Total","1 night or over","Domestic","221,113",""
